Booth No,Village / Polling Station (English),Village / Polling Station (Punjabi),AAP Status,2022 Total Polled,2022 Winner,2022 Margin,2022 AAP Votes,2022 AAP %,2022 INC Votes,2022 INC %,2022 SAD Votes,2022 SAD %,2022 PLC/BJP Votes,2022 PLC/BJP %,2024 Total Polled,2024 Winner,2024 Margin,2024 AAP Votes,2024 AAP %,2024 INC Votes,2024 INC %,2024 BJP Votes,2024 BJP %,2024 SAD Votes,2024 SAD %,AAP Vote Shift (+/-),AAP Swing % (+/-),INC Swing % (+/-),BJP Swing % (+/-),SAD Swing % (+/-),Turnout Diff,Turnout Diff %
1,Booth 1 - Amritsar South,ਬੂਥ 1 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),545,AAP,173,293,53.76,120,22.02,105,19.27,15,2.75,443,BJP,27,130,29.35,110,24.83,157,35.44,25,5.64,-163,-24.41,2.81,32.69,-13.63,-102,-18.72
2,Booth 2 - Amritsar South,ਬੂਥ 2 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to INC),628,AAP,106,288,45.86,182,28.98,147,23.41,3,0.48,492,INC,15,148,30.08,163,33.13,126,25.61,32,6.5,-140,-15.78,4.15,25.13,-16.91,-136,-21.66
3,Booth 3 - Amritsar South,ਬੂਥ 3 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),425,AAP,82,191,44.94,109,25.65,87,20.47,26,6.12,355,BJP,109,60,16.9,83,23.38,192,54.08,13,3.66,-131,-28.04,-2.27,47.96,-16.81,-70,-16.47
4,Booth 4 - Amritsar South,ਬੂਥ 4 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),529,AAP,64,221,41.78,124,23.44,157,29.68,21,3.97,446,BJP,110,102,22.87,95,21.3,212,47.53,30,6.73,-119,-18.91,-2.14,43.56,-22.95,-83,-15.69
5,Booth 5 - Amritsar South,ਬੂਥ 5 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),682,AAP,284,415,60.85,131,19.21,108,15.84,21,3.08,508,BJP,85,107,21.06,118,23.23,203,39.96,55,10.83,-308,-39.79,4.02,36.88,-5.01,-174,-25.51
6,Booth 6 - Amritsar South,ਬੂਥ 6 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),583,AAP,145,304,52.14,159,27.27,85,14.58,14,2.4,476,BJP,124,92,19.33,101,21.22,225,47.27,39,8.19,-212,-32.81,-6.05,44.87,-6.39,-107,-18.35
7,Booth 7 - Amritsar South,ਬੂਥ 7 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),670,AAP,112,295,44.03,183,27.31,170,25.37,8,1.19,519,BJP,21,158,30.44,135,26.01,179,34.49,29,5.59,-137,-13.59,-1.3,33.3,-19.78,-151,-22.54
8,"Bhagtanwala Gali No. 4, Nagar Nigam Amritsar, Ward No. 49 + Bazar Munshian Wala, Nagar Nigam Amritsar, Ward No. 49 + Gali Mansood Choudhary, Nagar Nigam Amritsar, Ward No. 49 + Bazar Ghumiyaran Wala, Nagar Nigam Amritsar, Ward No. 49 + Gali Munshian Wali, Nagar Nigam Amritsar, Ward No. 49 + Katra Karam Singh, Nagar Nigam Amritsar, Ward No. 49","ਭਗਤਾਂਵਾਲਾ ਗਲੀ ਨੰ.4, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਬਜ਼ਾਰ ਮੁਨਸ਼ੀਆ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਮਨਸੂਦ ਚੌਧਰੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਬਜ਼ਾਰ ਘੁਮਿਆਰਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਮੁਨਸ਼ੀਆ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਟੜਾ ਕਰਮ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),680,AAP,137,332,48.82,195,28.68,120,17.65,22,3.24,553,BJP,104,114,20.61,129,23.33,233,42.13,59,10.67,-218,-28.21,-5.35,38.89,-6.98,-127,-18.68
9,"Gali Hatam Bhai Andrun Gate Hakima, Nagar Nigam Amritsar, Ward No. 54","ਗਲੀ ਹਾਤਮ ਭਾਈ ਅੰਦਰੁਨ ਗੇਟ ਹਕੀਮਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 54",Lost in 2024 (to BJP),686,AAP,96,290,42.27,155,22.59,194,28.28,33,4.81,580,BJP,128,116,20.0,139,23.97,267,46.03,42,7.24,-174,-22.27,1.38,41.22,-21.04,-106,-15.45
10,"Gali Khoiyan No. 1, Nagar Nigam Amritsar, Ward No. 54 + Gali Khoiyan No. 2, Nagar Nigam Amritsar, Ward No. 54 + Gali Hatam Bhai Baharla Pasa, Nagar Nigam Amritsar, Ward No. 54 + Gate Khazana Saja Pasa, Nagar Nigam Amritsar, Ward No. 54 + Circular Road Khazana Gate, Nagar Nigam Amritsar, Ward No. 54","ਗਲੀ ਖੋਈਆਂ ਨੰ. 1, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 54 + ਗਲੀ ਖੋਈਆਂ ਨੰ. 2, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 54 + ਗਲੀ ਹਾਤਮ ਭਾਈ ਬਾਹਰਲਾ ਪਾਸਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 54 + ਗੇਟ ਖਜ਼ਾਨਾ ਸੱਜਾ ਪਾਸਾ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 54 + ਸਰਕੁਲਰ ਰੋਡ ਖਜ਼ਾਨਾ ਗੇਟ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 54",Lost in 2024 (to BJP),631,AAP,106,279,44.22,138,21.87,173,27.42,20,3.17,448,BJP,67,98,21.88,122,27.23,189,42.19,28,6.25,-181,-22.34,5.36,39.02,-21.17,-183,-29.0
